

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
073.193  000.176  000.176: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/eyeliner.nvim/plugin/init.lua
073.326  000.041  000.041: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/formatter.nvim/plugin/formatter.vim
073.599  000.182  000.182: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/hop.nvim/plugin/hop.vim
073.884  000.081  000.081: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/neo-tree.nvim/plugin/neo-tree.vim
074.193  000.161  000.161: require('plenary')
074.195  000.198  000.037: require('neogit.bootstrap')
074.237  000.259  000.061: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/neogit/plugin/neogit.vim
074.424  000.017  000.017: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/nvim-bqf/plugin/bqf.vim
074.555  000.031  000.031: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.lua
074.789  000.097  000.097: require('nvim-nonicons.mapping')
075.103  000.310  000.310: require('nvim-web-devicons.override')
075.106  000.448  000.042: require('nvim-nonicons')
075.123  000.488  000.040: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/nvim-nonicons/plugin/nvim-nonicons.vim
075.319  000.009  000.009: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
075.462  000.027  000.027: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
075.616  000.020  000.020: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/reach.nvim/plugin/reach.vim
076.076  000.359  000.359: require('sniprun')
076.262  000.047  000.047: require('sniprun.display')
076.271  000.564  000.158: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/sniprun/plugin/sniprun.vim
076.565  000.143  000.143: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/targets.vim/plugin/targets.vim
076.853  000.181  000.181: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
077.020  000.101  000.101: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/undotree/plugin/undotree.vim
077.563  000.466  000.466: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-abolish/plugin/abolish.vim
077.748  000.094  000.094: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-cool/plugin/cool.vim
078.078  000.024  000.024: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/unmatchit.vim
078.325  000.009  000.009: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
078.747  000.202  000.202: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup.vim
079.025  000.081  000.081: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/perf.vim
079.476  000.042  000.042: require('treesitter-matchup')
079.656  000.273  000.230: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/loader.vim
080.243  000.333  000.333: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/matchparen.vim
080.914  003.084  002.163: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-matchup/plugin/matchup.vim
081.044  000.024  000.024: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-snippets/plugin/vimsnippets.vim
081.131  000.010  000.010: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
081.330  000.029  000.029: require('yanky.utils')
081.365  000.032  000.032: require('yanky.highlight')
081.400  000.032  000.032: require('yanky.system_clipboard')
081.432  000.030  000.030: require('yanky.preserve_cursor')
081.464  000.030  000.030: require('yanky.picker')
081.469  000.225  000.071: require('yanky')
081.499  000.028  000.028: require('yanky.wrappers')
081.828  000.603  000.351: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/yanky.nvim/plugin/init.lua
081.974  003.443: loading packages
082.034  000.005  000.005: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/vim-matchup/after/plugin/matchit.vim
